"","UserIDs_in","MoYr","X.x","intercept","CTleaf_out.slope","CTleaf2.slope","Date","rdref","q10","LMA_g.m2","R_calc","sDate","Site.x","Plot.x","Spp","Treatment.x","site","Species.x","ï..UserIDs_in","X..N..as.received","X..N.adjusted","Nmass..g.N.kg.1.","X.y","X.1","X.2","Site.y","Plot.y","Species.y","Treatment.y","Narea"
"22","BM1GW",2020-06-01,323,-1.65624556741462,0.077325639245196,-1.848468328177e-05,2020-06-14,1.30387745995832,2.14687661956554,210.2587,"R.area","2020-06-14","BM","1","G","W","BM","G","BM1GW",1.71,1.9,19.02,NA,NA,NA,"BM","1","G","W",3.9949153
"23","BM1GW",2020-07-01,131,-0.104135852402901,0.058226395467664,0.000316770321328387,2020-07-30,4.709140866462,2.09729646004775,195.3409,"R.mass","2020-07-30","BM","1","G","W","BM","G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","BM1GW",2020-07-01,407,-1.73714489402504,0.058226395467664,0.000316770321328387,2020-07-30,0.919887815081466,2.09729646004775,195.3409,"R.area","2020-07-30","BM","1","G","W","BM","G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","BM1MC",2019-10-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM1MC",1.4,1.55,15.53,NA,NA,NA,"BM","1","M","C",NA
"26","BM1MC",2019-12-01,202,0.292375013619035,0.125793036676606,-0.00111497613107318,2019-12-19,15.4922647134606,2.01464358977349,103.3708,"R.mass","2019-12-19","BM","1","M","C","BM","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","BM1MC",2019-12-01,478,-1.97705774162333,0.125793036676606,-0.00111497613107318,2019-12-19,1.60144779724219,2.01464358977349,103.3708,"R.area","2019-12-19","BM","1","M","C","BM","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","BM1MC",2020-02-01,178,0.65309818705144,0.0813290802081171,-0.000292761778339343,2020-02-13,12.2233625150749,1.94820787767325,83.75859,"R.mass","2020-02-13","BM","1","M","C","BM","M","BM1MC",1.84,2.04,20.45,NA,NA,NA,"BM","1","M","C",1.708675236
"29","BM1MC",2020-02-01,454,-1.826718359321,0.0813290802081172,-0.000292761778339344,2020-02-13,1.02381160932153,1.94820787767325,83.75859,"R.area","2020-02-13","BM","1","M","C","BM","M","BM1MC",1.84,2.04,20.45,NA,NA,NA,"BM","1","M","C",1.708675236
"30","BM1MC",2020-04-01,250,1.03290099530084,0.0591587966859702,-2.89103500170195e-05,2020-04-08,12.1072196951777,1.78092482120202,107.7821,"R.mass","2020-04-08","BM","1","M","C","BM","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","BM1MC",2020-04-01,526,-1.19474268723141,0.0591587966859699,-2.89103500170147e-05,2020-04-08,1.30494156390761,1.78092482120202,107.7821,"R.area","2020-04-08","BM","1","M","C","BM","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","BM1MC",2020-06-01,322,0.633545625952235,-0.0699993159608178,0.0021104505305396,2020-06-14,1.22457556758457,1.42651171730515,131.5771,"R.area","2020-06-14","BM","1","M","C","BM","M","BM1MC",1.21,1.34,13.39,NA,NA,NA,"BM","1","M","C",1.76313314
"33","BM1MC",2020-06-01,46,2.66170791334308,-0.0699993159608174,0.00211045053053959,2020-06-14,9.30690498258867,1.42651171730515,131.5771,"R.mass","2020-06-14","BM","1","M","C","BM","M","BM1MC",1.21,1.34,13.39,NA,NA,NA,"BM","1","M","C",1.76313314
"34","BM1MC",2020-07-01,130,1.05199914759121,0.0293744326550307,0.000546866191592883,2020-07-30,8.39932490118135,1.76328301758961,140.339,"R.mass","2020-07-30","BM","1","M","C","BM","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","BM1MC",2020-07-01,406,-0.911695207144398,0.0293744326550307,0.000546866191592882,2020-07-30,1.17875285730689,1.76328301758961,140.339,"R.area","2020-07-30","BM","1","M","C","BM","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","BM1MW",2019-10-01,18,0.439310572318105,0.0804081329522081,-0.000261148429158853,2019-10-25,9.83842982694498,1.96110308802501,145.1763,"R.mass","2019-10-25","BM","1","M","W","BM","M","BM1MW",1.64,1.82,18.22,NA,NA,NA,"BM","1","M","W",2.64220866
"37","BM1MW",2019-10-01,294,-1.49049584073618,0.0804081329522079,-0.000261148429158848,2019-10-25,1.42830684008551,1.96110308802501,145.1763,"R.area","2019-10-25","BM","1","M","W","BM","M","BM1MW",1.64,1.82,18.22,NA,NA,NA,"BM","1","M","W",2.64220866
"38","BM1MW",2019-12-01,201,0.705406651759629,0.104988044746827,-0.000735899385717229,2019-12-19,17.6400282906733,1.9776924872537,102.8787,"R.mass","2019-12-19","BM","1","M","W","BM","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","BM1MW",2019-12-01,477,-1.56879800289391,0.104988044746827,-0.000735899385717237,2019-12-19,1.81478317850769,1.9776924872537,102.8787,"R.area","2019-12-19","BM","1","M","W","BM","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","BM1MW",2020-02-01,453,-1.25744879630684,0.0330871674577441,0.00051678315251012,2020-02-13,0.898273995671659,1.80265981791628,77.0094,"R.area","2020-02-13","BM","1","M","W","BM","M","BM1MW",1.25,1.39,13.87,NA,NA,NA,"BM","1","M","W",1.07043066
"41","BM1MW",2020-02-01,177,1.30637899035044,0.0330871674577438,0.000516783152510126,2020-02-13,11.6644720731711,1.80265981791628,77.0094,"R.mass","2020-02-13","BM","1","M","W","BM","M","BM1MW",1.25,1.39,13.87,NA,NA,NA,"BM","1","M","W",1.07043066
"42","BM1MW",2020-04-01,249,0.375038198328128,0.103475012742865,-0.000710279355308434,2020-04-08,12.4036268758492,1.97310895746252,138.8926,"R.mass","2020-04-08","BM","1","M","W","BM","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","BM1MW",2020-04-01,525,-1.59901610805086,0.103475012742865,-0.000710279355308437,2020-04-08,1.72277198621658,1.97310895746252,138.8926,"R.area","2020-04-08","BM","1","M","W","BM","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","BM1MW",2020-06-01,321,-0.657472040549054,-0.00165766389575537,0.00111734185722601,2020-06-14,0.999425188091018,1.71960444347873,132.945,"R.area","2020-06-14","BM","1","M","W","BM","M","BM1MW",1.29,1.43,14.28,NA,NA,NA,"BM","1","M","W",1.9011135
"45","BM1MW",2020-06-01,45,1.36034772957461,-0.00165766389575517,0.00111734185722601,2020-06-14,7.51758387371483,1.71960444347873,132.945,"R.mass","2020-06-14","BM","1","M","W","BM","M","BM1MW",1.29,1.43,14.28,NA,NA,NA,"BM","1","M","W",1.9011135
"46","BM1MW",2020-07-01,129,0.633470159657244,0.066184402751725,7.01197968332174e-06,2020-07-30,9.89928681594751,1.94517124589929,142.3139,"R.mass","2020-07-30","BM","1","M","W","BM","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","BM1MW",2020-07-01,405,-1.31624993804383,0.0661844027517249,7.01197968332379e-06,2020-07-30,1.40880611399607,1.94517124589929,142.3139,"R.area","2020-07-30","BM","1","M","W","BM","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","BM2GC",2019-10-01,17,0.149196600292819,0.00925627802164717,0.00110256828955252,2019-10-25,2.91453046630459,1.90379054986042,251.6556,"R.mass","2019-10-25","BM","2","G","C","BM","G","BM2GC",1.32,1.47,14.7,NA,NA,NA,"BM","2","G","C",3.69933732
"49","BM2GC",2019-10-01,293,-1.2304971925852,0.00925627802164733,0.00110256828955252,2019-10-25,0.733457913216162,1.90379054986042,251.6556,"R.area","2019-10-25","BM","2","G","C","BM","G","BM2GC",1.32,1.47,14.7,NA,NA,NA,"BM","2","G","C",3.69933732
"50","BM2GC",2019-12-01,192,0.382189982937761,0.00634806243612793,0.00122556626311404,2019-12-20,3.69459321725572,1.96651660328578,256.1607,"R.mass","2019-12-20","BM","2","G","C","BM","G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","BM2GC",2019-12-01,468,-0.979760314132624,0.00634806243612804,0.00122556626311404,2019-12-20,0.946409584747478,1.96651660328578,256.1607,"R.area","2019-12-20","BM","2","G","C","BM","G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","BM2GC",2020-02-01,452,-2.23202165105214,0.09251885051701,-0.000329614150754999,2020-02-13,0.882444631768354,2.1390919783194,254.3108,"R.area","2020-02-13","BM","2","G","C","BM","G","BM2GC",1.17,1.3,13.03,NA,NA,NA,"BM","2","G","C",3.3060404
"53","BM2GC",2020-02-01,176,-0.862823513120456,0.0925188505170099,-0.000329614150754999,2020-02-13,3.46994556176283,2.1390919783194,254.3108,"R.mass","2020-02-13","BM","2","G","C","BM","G","BM2GC",1.17,1.3,13.03,NA,NA,NA,"BM","2","G","C",3.3060404
"54","BM2GC",2020-04-01,240,0.233755814274867,0.013846160664856,0.00114612255895753,2020-04-09,3.65551296788546,2.03709115551351,259.9562,"R.mass","2020-04-09","BM","2","G","C","BM","G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","BM2GC",2020-04-01,516,-1.11348630942143,0.0138461606648555,0.00114612255895754,2020-04-09,0.950273260182226,2.03709115551351,259.9562,"R.area","2020-04-09","BM","2","G","C","BM","G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","BM2GC",2020-06-01,60,1.90133741330833,-0.0563294355784521,0.00198886286157421,2020-06-13,5.67539867687068,1.53900649481816,223.412,"R.mass","2020-06-13","BM","2","G","C","BM","G","BM2GC",1.55,1.72,17.24,NA,NA,NA,"BM","2","G","C",3.8426864
"57","BM2GC",2020-06-01,336,0.402599734827535,-0.0563294355784519,0.00198886286157421,2020-06-13,1.26795216919703,1.53900649481816,223.412,"R.area","2020-06-13","BM","2","G","C","BM","G","BM2GC",1.55,1.72,17.24,NA,NA,NA,"BM","2","G","C",3.8426864
"58","BM2GC",2020-07-01,128,0.584897910376087,0.00658768926684528,0.00112280814393957,2020-07-30,4.26885325237565,1.87251222414871,235.5257,"R.mass","2020-07-30","BM","2","G","C","BM","G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","BM2GC",2020-07-01,404,-0.861037331592092,0.00658768926684524,0.00112280814393957,2020-07-30,1.00542465046305,1.87251222414871,235.5257,"R.area","2020-07-30","BM","2","G","C","BM","G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","BM2GW",2019-10-01,16,-0.636129674259225,0.0886636117886575,-0.000684787990257073,2019-10-25,3.16599735666883,1.72330183609552,298.6111,"R.mass","2019-10-25","BM","2","G","W","BM","G","BM2GW",1.16,1.29,12.87,NA,NA,NA,"BM","2","G","W",3.85208319
"61","BM2GW",2019-10-01,292,-1.84474289535097,0.0886636117886574,-0.000684787990257072,2019-10-25,0.945401953271972,1.72330183609552,298.6111,"R.area","2019-10-25","BM","2","G","W","BM","G","BM2GW",1.16,1.29,12.87,NA,NA,NA,"BM","2","G","W",3.85208319
"62","BM2GW",2019-12-01,191,0.488699593224638,0.00302532293111252,0.00123267892671928,2019-12-20,3.79907264325977,1.90902509955794,281.3512,"R.mass","2019-12-20","BM","2","G","W","BM","G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","BM2GW",2019-12-01,467,-0.779451974737133,0.00302532293111224,0.00123267892671928,2019-12-20,1.06887364706831,1.90902509955794,281.3512,"R.area","2019-12-20","BM","2","G","W","BM","G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","BM2GW",2020-02-01,451,-1.29932160617335,0.0368670001737773,0.000779655182572898,2020-02-13,1.11587392514704,2.13506607146599,286.2745,"R.area","2020-02-13","BM","2","G","W","BM","G","BM2GW",1.26,1.4,14,NA,NA,NA,"BM","2","G","W",4.007843
"65","BM2GW",2020-02-01,175,-0.048517467916738,0.0368670001737773,0.000779655182572898,2020-02-13,3.89791589941487,2.13506607146599,286.2745,"R.mass","2020-02-13","BM","2","G","W","BM","G","BM2GW",1.26,1.4,14,NA,NA,NA,"BM","2","G","W",4.007843
"66","BM2GW",2020-04-01,239,0.641596616811636,0.0080771451133804,0.00108722174704125,2020-04-09,4.58614057273645,1.86709234428073,294.9651,"R.mass","2020-04-09","BM","2","G","W","BM","G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","BM2GW",2020-04-01,515,-0.579301617914023,0.00807714511338027,0.00108722174704125,2020-04-09,1.35275141265127,1.86709234428073,294.9651,"R.area","2020-04-09","BM","2","G","W","BM","G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","BM2GW",2020-06-01,59,1.08464308953301,0.00151274112662069,0.0010526487101607,2020-06-13,5.93203344039935,1.71849991242318,233.8427,"R.mass","2020-06-13","BM","2","G","W","BM","G","BM2GW",1.54,1.71,17.1,NA,NA,NA,"BM","2","G","W",3.99871017
"69","BM2GW",2020-06-01,335,-0.368463522356308,0.00151274112662066,0.0010526487101607,2020-06-13,1.38716271619327,1.71849991242318,233.8427,"R.area","2020-06-13","BM","2","G","W","BM","G","BM2GW",1.54,1.71,17.1,NA,NA,NA,"BM","2","G","W",3.99871017
"70","BM2GW",2020-07-01,127,0.542112157585089,0.00962855432491905,0.00106943077922429,2020-07-30,4.26831976748122,1.87949088226546,251.7122,"R.mass","2020-07-30","BM","2","G","W","BM","G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","BM2GW",2020-07-01,403,-0.837356750029159,0.00962855432491911,0.00106943077922429,2020-07-30,1.07438815897619,1.87949088226546,251.7122,"R.area","2020-07-30","BM","2","G","W","BM","G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","BM2MC",2019-10-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM2MC",1.12,1.24,12.41,NA,NA,NA,"BM","2","M","C",NA
"73","BM2MC",2019-12-01,190,0.539427536253589,0.0718415915394695,-0.000111108851920835,2019-12-20,9.64099474187292,1.94033665094292,136.47,"R.mass","2019-12-20","BM","2","M","C","BM","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","BM2MC",2019-12-01,466,-1.45222293247852,0.0718415915394693,-0.000111108851920832,2019-12-20,1.3157065524234,1.94033665094292,136.47,"R.area","2019-12-20","BM","2","M","C","BM","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","BM2MC",2020-02-01,450,-2.11963433639309,0.113496179313464,-0.000769122429562746,2020-02-13,1.267528102667,2.11784821086599,87.30894,"R.area","2020-02-13","BM","2","M","C","BM","M","BM2MC",1.86,2.07,20.69,NA,NA,NA,"BM","2","M","C",1.807295058
"76","BM2MC",2020-02-01,174,0.318668079488289,0.113496179313465,-0.000769122429562748,2020-02-13,14.5177355568284,2.11784821086599,87.30894,"R.mass","2020-02-13","BM","2","M","C","BM","M","BM2MC",1.86,2.07,20.69,NA,NA,NA,"BM","2","M","C",1.807295058
"77","BM2MC",2020-04-01,238,0.729320189522055,0.072976532623691,-0.000206737905962019,2020-04-09,11.2968317905409,1.87085654837812,135.6129,"R.mass","2020-04-09","BM","2","M","C","BM","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","BM2MC",2020-04-01,514,-1.26863058573526,0.0729765326236912,-0.000206737905962021,2020-04-09,1.53199611992744,1.87085654837813,135.6129,"R.area","2020-04-09","BM","2","M","C","BM","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","BM2MC",2020-06-01,58,0.546074921305668,0.0885542464778816,-0.000478344422664929,2020-06-13,11.7161217312975,1.90860050472043,160.2143,"R.mass","2020-06-13","BM","2","M","C","BM","M","BM2MC",1.39,1.54,15.4,NA,NA,NA,"BM","2","M","C",2.46730022
"80","BM2MC",2020-06-01,334,-1.28516806360522,0.0885542464778813,-0.000478344422664924,2020-06-13,1.87709024189462,1.90860050472043,160.2143,"R.area","2020-06-13","BM","2","M","C","BM","M","BM2MC",1.39,1.54,15.4,NA,NA,NA,"BM","2","M","C",2.46730022
"81","BM2MC",2020-07-01,126,0.974427757980305,0.0434328786277211,0.000304374913067295,2020-07-30,9.49232943285575,1.79771469219586,173.3333,"R.mass","2020-07-30","BM","2","M","C","BM","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","BM2MC",2020-07-01,402,-0.778111190402178,0.0434328786277211,0.000304374913067295,2020-07-30,1.64533678528402,1.79771469219586,173.3333,"R.area","2020-07-30","BM","2","M","C","BM","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","BM2MW",2019-10-01,291,-0.784649979381529,0.050093628441502,0.000196947150475697,2019-10-25,1.80540095112363,1.8210438117974,166.2577,"R.area","2019-10-25","BM","2","M","W","BM","M","BM2MW",1.28,1.42,14.17,NA,NA,NA,"BM","2","M","W",2.36085934
"84","BM2MW",2019-10-01,15,1.00956630534771,0.0500936284415024,0.000196947150475689,2019-10-25,10.8590516476748,1.8210438117974,166.2577,"R.mass","2019-10-25","BM","2","M","W","BM","M","BM2MW",1.28,1.42,14.17,NA,NA,NA,"BM","2","M","W",2.36085934
"85","BM2MW",2019-12-01,189,0.49388273582383,0.0783165366328906,-0.000360355566415184,2019-12-20,9.26805853748895,1.82757067166776,140.3107,"R.mass","2019-12-20","BM","2","M","W","BM","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","BM2MW",2019-12-01,465,-1.47001329381182,0.0783165366328911,-0.000360355566415193,2019-12-20,1.30040778103605,1.82757067166776,140.3107,"R.area","2019-12-20","BM","2","M","W","BM","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","BM2MW",2020-02-01,449,-1.57163364729073,0.0828281313244943,-0.000307511577762921,2020-02-13,1.35917092477245,1.96310131121702,119.9458,"R.area","2020-02-13","BM","2","M","W","BM","M","BM2MW",1.29,1.43,14.34,NA,NA,NA,"BM","2","M","W",1.71522494
"88","BM2MW",2020-02-01,173,0.549081657608138,0.0828281313244947,-0.00030751157776293,2020-02-13,11.3315424531117,1.96310131121702,119.9458,"R.mass","2020-02-13","BM","2","M","W","BM","M","BM2MW",1.29,1.43,14.34,NA,NA,NA,"BM","2","M","W",1.71522494
"89","BM2MW",2020-04-01,237,1.04329867602658,0.0751035109109963,-0.000366014998138835,2020-04-09,14.7630446494732,1.76478277655982,145.5609,"R.mass","2020-04-09","BM","2","M","W","BM","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","BM2MW",2020-04-01,513,-0.883862047213396,0.0751035109109961,-0.000366014998138833,2020-04-09,2.1489220659175,1.76478277655982,145.5609,"R.area","2020-04-09","BM","2","M","W","BM","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","BM2MW",2020-06-01,57,0.143883164607147,0.101466156092788,-0.000570087610645831,2020-06-13,10.2188321813132,2.07428757131911,157.5117,"R.mass","2020-06-13","BM","2","M","W","BM","M","BM2MW",1.38,1.53,15.26,NA,NA,NA,"BM","2","M","W",2.40992901
"92","BM2MW",2020-06-01,333,-1.70437237315405,0.101466156092788,-0.00057008761064582,2020-06-13,1.60958562889336,2.07428757131911,157.5117,"R.area","2020-06-13","BM","2","M","W","BM","M","BM2MW",1.38,1.53,15.26,NA,NA,NA,"BM","2","M","W",2.40992901
"93","BM2MW",2020-07-01,125,0.0324271728193969,0.104584453298197,-0.000751560246724256,2020-07-30,8.8225712376025,1.95436319637261,167.8737,"R.mass","2020-07-30","BM","2","M","W","BM","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","BM2MW",2020-07-01,401,-1.75211619520636,0.104584453298197,-0.000751560246724256,2020-07-30,1.48107767716991,1.95436319637261,167.8737,"R.area","2020-07-30","BM","2","M","W","BM","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","BM3GC",2019-10-01,12,-0.286385788097815,0.0452773645392793,0.000576199293641317,2019-10-26,3.33900508512883,2.09776667811316,258.5253,"R.mass","2019-10-26","BM","3","G","C","BM","G","BM3GC",1.23,1.37,13.67,NA,NA,NA,"BM","3","G","C",3.54179661
"96","BM3GC",2019-10-01,288,-1.63914750558022,0.045277364539279,0.000576199293641322,2019-10-26,0.863217291334455,2.09776667811316,258.5253,"R.area","2019-10-26","BM","3","G","C","BM","G","BM3GC",1.23,1.37,13.67,NA,NA,NA,"BM","3","G","C",3.54179661
"97","BM3GC",2019-12-01,200,-0.224635769168447,0.0657068953639945,0.000240739400780011,2019-12-19,4.79943758097644,2.1758919099636,244.7122,"R.mass","2019-12-19","BM","3","G","C","BM","G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","BM3GC",2019-12-01,476,-1.63230822197706,0.0657068953639944,0.000240739400780013,2019-12-19,1.17448092920342,2.1758919099636,244.7122,"R.area","2019-12-19","BM","3","G","C","BM","G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
